,organizationName,id,name,description,address,categories,revenue,EIN,totcntrbgfts,totcntrbs,Name,boston_region
0,Wellesley College,1945744,Wellesley College,Part 1: to provide an excellent liberal arts education for women who will make a difference in the world.,106 Central St,WEDUC,342459889,42103637,68183815.0,,WELLESLEY COLLEGE,No
1,Upstream USA Inc,1773668,Upstream USA Inc,"Part 1: upstream USA's mission is to expand opportunity by reducing unplanned pregnancy across the u.S. To this end, upstream works in partnership with health centers to strengthen reproductive care and autonomy by increasing equitable access to the full range of contraceptive options.",2 Oliver St Ste 402,RH,60941598,352581424,35079687.0,,,No
2,Dana Hall Schools,1945742,Dana Hall Schools,"Part 1: please see schedule o.Dana hall school is an independent boarding and day school for girls in grades five through twelve. Dana hall is committed to fostering excellence in academics, the arts, and athletics within a vibrant, caring and inclusive community. With emphasis on integrity, leadership, diversity, and service as well as on respect for self and others, dana hall provides its students with a unique opportunity to prepare themselves for the challenges and choices they will face as women and citizens of the world. - Part 3: dana hall is an independent boarding and day school for girls in grades five through twelve.",PO Box 9010,WEDUC,58731452,42103562,4529847.0,,DANA HALL SCHOOLS,No
3,Winsor School Inc,1945765,Winsor School Inc,"Part 1: the winsor school provides college preparatory instruction to girls in grades five through twelve. - Part 3: the winsor school is dedicated to developing the individual talents of academically promising and motivated girls in grades five through twelve.Its rigorous academic curriculum is complemented by strong offerings in the arts and physical education. The school helps students build a foundation of skills and knowledge to serve as a lifelong base for independent thinking, problem solving, creativity, and wise decision-making.Winsor students are expected to pursue academic and personal excellence and to show concern and respect for others, for the community of the school, and for the world in which they live. They are encouraged by a dedicated and caring faculty to develop confidence in all areas of study, to express themselves effectively, to become leaders, and to face challenges with courage and integrity.Committed to diversity in its student body and faculty and to an inclusive curriculum, the school fosters an appreciation of individual and cultural differences.",103 Pilgrim Rd,WEDUC,34533035,42105842,5265015.0,,WINSOR SCHOOL INC,No
4,Planned Parenthood League of Massachusetts Inc,1945875,Planned Parenthood League of Massachusetts Inc,"Part 1: to protect and promote sexual and reproductive health and freedom of choice by providing clinical services, education and advocacy.",1055 Commonwealth Ave,RH,23608523,42698497,12065771.0,,PLANNED PARENTHOOD LEAGUE OF MASSACHUSETTS INC,No
5,Pine Manor College,1945802,Pine Manor College,"Part 1: the mission of pine manor college is to make certain that all graduates are prepared to take meaningful steps in their lives: engaging in new jobs and careers, continuing to learn, and positively contributing to their communities. Students, including those who are the first in their families to attend college, who are looking for a purposeful education in a personalized and inclusive learning community, will find a home at pine manor college.",400 Heath St,WEDUC,19892152,42321292,,,PINE MANOR COLLEGE,No
6,Centering Healthcare Institute Inc,1945882,Centering Healthcare Institute Inc,"Part 1: improving health, transforming care & disrupting inequitable systems through the centering group model - part 3: centering healthcare institute, Inc. (Chi) provides expertise, training and materials to clinical practice sites to start and sustain centering group care practice. Chi is on the front lines of transforming birth outcomes and family health in the United States by changing the paradigm of health services from individual visits to a group care model that effectively addresses the complex social determinants of health. Centering, an evidence-based model of group medical visits, brings patients out of the exam room and into a group setting where they learn from their providers and each other. In each two hour visit, there is ample time for health assessment, interactive learning and community building. Visits meet nationally recognized clinical standards and are facilitated by a credentialed health provider.",89 South Street LL-02,"WHLTH,WHSV",15839295,61622668,3108577.0,,CENTERING HEALTHCARE INSTITUTE INC,No
7,Rosies Place Inc,1945812,Rosies Place Inc,"Part 1: rosie's place provides a safe and nurturing environment for poor and homeless women to maintain their dignity, seek opportunity and find security in their lives. We seek to fulfill this mission through the expression of our core values: welcoming; unconditional love; fair and non-judgmental treatment; encouragement; holistic approach; alleviation of suffering; truth; pursuit of social justice; and independence. - Part 3: see 990, part i, line i",889 Harrison Ave,GV,15654186,42582187,18650463.0,,ROSIES PLACE INC,No
8,Showa Boston Institute for Language and Culture,1946222,Showa Boston Institute for Language and Culture,"Part 1: showa boston institute is an academic institution established to increase students' english prociency, develop cross cultural awareness, and foster personal growth. - Part 3: showa boston institute is an academic institution established to increase students' english proficiency, develop cross cultural awareness, and foster personal growth.",420 Pond St,GEN,11769552,42966217,789645.0,,SHOWA BOSTON INSTITUTE FOR LANGUAGE AND CULTURE,No
9,Montrose Foundation Inc,1945855,Montrose Foundation Inc,"Part 1: to educate young women to pursue the truth in all they do. Built on the foundation of a rich liberal arts curriculum, personal character formation, and collaboration with parents. Each student is challenged to cultivate intellect, character, leadership, service, faith and reason.",29 North St,WEDUC,7342546,42668765,,,MONTROSE FOUNDATION INC,No
10,Casa Myrna Vasquez Inc,1945834,Casa Myrna Vasquez Inc,"Part 1: ending domestic and dating violence through intervention, awareness and prevention. - Part 3: delivering solutions to end domestic and dating violence through intervention, awareness and prevention.",38 Wareham St,GV,6839945,42625710,10167205.0,,CASA MYRNA VASQUEZ INC,No
11,Fall River Deaconess Home,1945747,Fall River Deaconess Home,"Part 1: the organization's mission is to develop in each young woman the social and academic skills necessary to engage fully and freely in the traditional life systems of family, community, school and work.",603 Rock St,WHSV,6659817,42103766,363733.0,,FALL RIVER DEACONESS HOME,No
12,St Marys Center for Women and Children Inc,1946310,St Marys Center for Women and Children Inc,"Part 1: provide comprehensive social services to poor, homeless teens, children and families by providing shelter, care and treatment, teaching programs, and education and training. - Part 3: st. Mary's center, a multi-service organization supporting women and families, believes shelter is not enough to erase the devastation of cyclical poverty and homelessness. Grounded in social justice, we empower families to achieve emotional stability and economic independence through education, workforce development, and permanent housing.",90 Cushing Ave,WHSV,6009920,43201844,,,ST MARYS CENTER FOR WOMEN AND CHILDREN,No
13,Razias Ray of Hope Foundation,568040,Razias Ray of Hope Foundation,"Part 1: a non-profit organziation committed to improve the lives of women and children in afghanistan. - Part 3: razia's ray of hope foundation is a non-profit organization dedicated to improving the lives of women and children in afghanistan through community-based education. Focused on the afghan village of deh'subz, the organization was founded on the belief that education is key to positive, peaceful change for current and future generations. The foundation strives to provide opportunities to learn and grow in a safe, nurturing environment, empowering girls and women through education and resources so that they May work toward brighter futures - in their own villages and beyond.",PO Box 81052,WEDUC,5800777,262008030,1181938.0,,RAZIAS RAY OF HOPE FOUNDATION,No
