,Essex,Middlesex,Norfolk,Suffolk,Plymouth,Bristol,Worcester,Barnstable
0,1810.0,1431,2019.0,2101.0,2018.0,2031.0,1545.0,2630.0
1,1812.0,1432,2021.0,2102.0,2020.0,2048.0,1583.0,
2,1830.0,1434,2025.0,2103.0,2040.0,2334.0,1601.0,
3,1831.0,1450,2026.0,2104.0,2041.0,2356.0,1602.0,
4,1832.0,1460,2027.0,2105.0,2043.0,2357.0,1603.0,
5,1833.0,1463,2030.0,2106.0,2044.0,2375.0,1604.0,
6,1834.0,1464,2032.0,2107.0,2045.0,2702.0,1605.0,
7,1835.0,1469,2035.0,2108.0,2047.0,2703.0,1606.0,
8,1840.0,1474,2038.0,2109.0,2050.0,2712.0,1607.0,
9,1841.0,1701,2052.0,2110.0,2051.0,2714.0,1608.0,
10,1842.0,1702,2053.0,2111.0,2055.0,2715.0,1609.0,
11,1843.0,1718,2054.0,2112.0,2059.0,2717.0,1610.0,
12,1844.0,1719,2056.0,2113.0,2060.0,2718.0,1613.0,
13,1845.0,1720,2062.0,2114.0,2061.0,2719.0,1614.0,
14,1860.0,1721,2067.0,2115.0,2065.0,2720.0,1615.0,
15,1885.0,1730,2070.0,2116.0,2066.0,2721.0,1653.0,
16,1899.0,1731,2071.0,2117.0,2301.0,2722.0,1654.0,
17,1901.0,1741,2072.0,2118.0,2302.0,2723.0,1655.0,
18,1902.0,1742,2081.0,2119.0,2303.0,2724.0,,
19,1903.0,1746,2090.0,2120.0,2304.0,2725.0,,
20,1904.0,1748,2093.0,2121.0,2305.0,2726.0,,
21,1905.0,1749,2169.0,2122.0,2324.0,2740.0,,
22,1906.0,1752,2170.0,2123.0,2325.0,2741.0,,
23,1907.0,1754,2171.0,2124.0,2327.0,2742.0,,
24,1908.0,1760,2184.0,2125.0,2330.0,2743.0,,
25,1910.0,1770,2185.0,2126.0,2331.0,2744.0,,
26,1913.0,1773,2186.0,2127.0,2332.0,2745.0,,
27,1915.0,1775,2187.0,2128.0,2333.0,2746.0,,
28,1921.0,1776,2188.0,2129.0,2337.0,2747.0,,
29,1922.0,1778,2189.0,2130.0,2338.0,2748.0,,
30,1923.0,1801,2190.0,2131.0,2339.0,2760.0,,
31,1929.0,1803,2191.0,2132.0,2340.0,2761.0,,
32,1930.0,1821,2266.0,2133.0,2341.0,2763.0,,
33,1931.0,1824,2269.0,2134.0,2344.0,2764.0,,
34,1936.0,1826,2322.0,2135.0,2345.0,2766.0,,
35,1937.0,1827,2343.0,2136.0,2346.0,2767.0,,
36,1938.0,1850,2368.0,2137.0,2347.0,2768.0,,
37,1940.0,1851,2445.0,2142.0,2348.0,2769.0,,
38,1944.0,1852,2446.0,2150.0,2349.0,2771.0,,
39,1945.0,1854,2447.0,2151.0,2350.0,2777.0,,
40,1949.0,1862,2457.0,2152.0,2351.0,2779.0,,
41,1950.0,1863,2467.0,2163.0,2355.0,2780.0,,
42,1951.0,1864,2481.0,2171.0,2358.0,2783.0,,
43,1952.0,1867,2482.0,2196.0,2359.0,2790.0,,
44,1960.0,1876,2492.0,2199.0,2360.0,2791.0,,
45,1961.0,1879,2494.0,2201.0,2361.0,,,
46,1965.0,1880,2762.0,2203.0,2362.0,,,
47,1966.0,1886,,2204.0,2364.0,,,
48,1969.0,1887,,2205.0,2366.0,,,
49,1970.0,1890,,2206.0,2367.0,,,
50,1971.0,1940,,2207.0,2370.0,,,
51,1982.0,2138,,2208.0,2379.0,,,
52,1983.0,2139,,2209.0,2381.0,,,
53,1984.0,2140,,2210.0,2382.0,,,
54,1985.0,2141,,2211.0,2538.0,,,
55,2565.0,2142,,2212.0,2558.0,,,
56,5501.0,2143,,2215.0,2571.0,,,
57,5544.0,2144,,2216.0,2576.0,,,
58,,2145,,2217.0,2738.0,,,
59,,2148,,2222.0,2739.0,,,
60,,2149,,2228.0,2770.0,,,
61,,2155,,2241.0,,,,
62,,2176,,2283.0,,,,
63,,2180,,2284.0,,,,
64,,2420,,2293.0,,,,
65,,2421,,2295.0,,,,
66,,2451,,2297.0,,,,
67,,2452,,2298.0,,,,
68,,2453,,2467.0,,,,
69,,2458,,,,,,
70,,2459,,,,,,
71,,2460,,,,,,
72,,2461,,,,,,
73,,2462,,,,,,
74,,2464,,,,,,
75,,2465,,,,,,
76,,2466,,,,,,
77,,2467,,,,,,
78,,2468,,,,,,
79,,2472,,,,,,
80,,2474,,,,,,
81,,2476,,,,,,
82,,2478,,,,,,
83,,2493,,,,,,
