organizationId,organizationName,id,name,description,address,city,state,zip,latitude,longitude,type,updatedAt,updatedAtHuman,categories,revenue,ein
1945744,Wellesley College,1945744,Wellesley College,Part 1: to provide an excellent liberal arts education for women who will make a difference in the world.,106 Central St,Wellesley,MA,02481,42.292741,-71.306343,organization,2023-10-10 20:12:26,1 month ago,WEDUC,342459889,042103637
1773668,Upstream USA Inc,1773668,Upstream USA Inc,"Part 1: upstream USA's mission is to expand opportunity by reducing unplanned pregnancy across the u.S. To this end, upstream works in partnership with health centers to strengthen reproductive care and autonomy by increasing equitable access to the full range of contraceptive options.",2 Oliver St Ste 402,Boston,MA,02109,42.355903000000005,-71.053139,organization,2023-10-10 20:23:49,1 month ago,RH,60941598,352581424
1945742,Dana Hall Schools,1945742,Dana Hall Schools,"Part 1: please see schedule o.Dana hall school is an independent boarding and day school for girls in grades five through twelve. Dana hall is committed to fostering excellence in academics, the arts, and athletics within a vibrant, caring and inclusive community. With emphasis on integrity, leadership, diversity, and service as well as on respect for self and others, dana hall provides its students with a unique opportunity to prepare themselves for the challenges and choices they will face as women and citizens of the world. - Part 3: dana hall is an independent boarding and day school for girls in grades five through twelve.",PO Box 9010,Wellesley,MA,02482,0.001,-0.001,organization,2023-10-10 20:12:26,1 month ago,WEDUC,58731452,042103562
1945765,Winsor School Inc,1945765,Winsor School Inc,"Part 1: the winsor school provides college preparatory instruction to girls in grades five through twelve. - Part 3: the winsor school is dedicated to developing the individual talents of academically promising and motivated girls in grades five through twelve.Its rigorous academic curriculum is complemented by strong offerings in the arts and physical education. The school helps students build a foundation of skills and knowledge to serve as a lifelong base for independent thinking, problem solving, creativity, and wise decision-making.Winsor students are expected to pursue academic and personal excellence and to show concern and respect for others, for the community of the school, and for the world in which they live. They are encouraged by a dedicated and caring faculty to develop confidence in all areas of study, to express themselves effectively, to become leaders, and to face challenges with courage and integrity.Committed to diversity in its student body and faculty and to an inclusive curriculum, the school fosters an appreciation of individual and cultural differences.",103 Pilgrim Rd,Boston,MA,02215,42.338943,-71.106962,organization,2023-10-10 20:12:27,1 month ago,WEDUC,34533035,042105842
1945875,Planned Parenthood League of Massachusetts Inc,1945875,Planned Parenthood League of Massachusetts Inc,"Part 1: to protect and promote sexual and reproductive health and freedom of choice by providing clinical services, education and advocacy.",1055 Commonwealth Ave,Boston,MA,02215,42.34821,-71.101798,organization,2023-10-10 20:12:30,1 month ago,RH,23608523,042698497
1945802,Pine Manor College,1945802,Pine Manor College,"Part 1: the mission of pine manor college is to make certain that all graduates are prepared to take meaningful steps in their lives: engaging in new jobs and careers, continuing to learn, and positively contributing to their communities. Students, including those who are the first in their families to attend college, who are looking for a purposeful education in a personalized and inclusive learning community, will find a home at pine manor college.",400 Heath St,Chestnut Hill,MA,02467,42.329185,-71.157854,organization,2023-10-10 20:12:28,1 month ago,WEDUC,19892152,042321292
1945882,Centering Healthcare Institute Inc,1945882,Centering Healthcare Institute Inc,"Part 1: improving health, transforming care & disrupting inequitable systems through the centering group model - part 3: centering healthcare institute, Inc. (Chi) provides expertise, training and materials to clinical practice sites to start and sustain centering group care practice. Chi is on the front lines of transforming birth outcomes and family health in the United States by changing the paradigm of health services from individual visits to a group care model that effectively addresses the complex social determinants of health. Centering, an evidence-based model of group medical visits, brings patients out of the exam room and into a group setting where they learn from their providers and each other. In each two hour visit, there is ample time for health assessment, interactive learning and community building. Visits meet nationally recognized clinical standards and are facilitated by a credentialed health provider.",89 South Street LL-02,Boston,MA,02111,42.350789,-71.05649,organization,2023-10-10 20:13:03,1 month ago,"WHLTH,WHSV",15839295,061622668
1945812,Rosies Place Inc,1945812,Rosies Place Inc,"Part 1: rosie's place provides a safe and nurturing environment for poor and homeless women to maintain their dignity, seek opportunity and find security in their lives. We seek to fulfill this mission through the expression of our core values: welcoming; unconditional love; fair and non-judgmental treatment; encouragement; holistic approach; alleviation of suffering; truth; pursuit of social justice; and independence. - Part 3: see 990, part i, line i",889 Harrison Ave,Boston,MA,02118,42.36335,-71.05963899999999,organization,2023-10-10 20:12:28,1 month ago,GV,15654186,042582187
1946222,Showa Boston Institute for Language and Culture,1946222,Showa Boston Institute for Language and Culture,"Part 1: showa boston institute is an academic institution established to increase students' english prociency, develop cross cultural awareness, and foster personal growth. - Part 3: showa boston institute is an academic institution established to increase students' english proficiency, develop cross cultural awareness, and foster personal growth.",420 Pond St,Jamaica Plain,MA,02130,0.001,-0.001,organization,2023-10-10 20:12:37,1 month ago,GEN,11769552,042966217
1945855,Montrose Foundation Inc,1945855,Montrose Foundation Inc,"Part 1: to educate young women to pursue the truth in all they do. Built on the foundation of a rich liberal arts curriculum, personal character formation, and collaboration with parents. Each student is challenged to cultivate intellect, character, leadership, service, faith and reason.",29 North St,Medfield,MA,02052,42.189896999999995,-71.304054,organization,2023-10-10 20:12:29,1 month ago,WEDUC,7342546,042668765
