Unnamed: 0,EIN,NAME,STREET,CITY,STATE,ZIP_PART_1,ZIP_PART_2,totcntrbgfts
0,19818,PALMER SECOND BAPTIST CHURCH,1050 THORNDIKE ST,PALMER,MA,1069,1507,125780.0
1,29215,ST GEORGE CATHEDRAL,523 E BROADWAY,SOUTH BOSTON,MA,2127,4415,125780.0
2,587764,IGLESIA BETHESDA INC,13 CUMMINGHAM ST,LOWELL,MA,1852,0,125780.0
3,635913,MINISTERIO APOSTOLICO JESUCRISTO ES EL SENOR INC,454 ESSEX ST,LAWRENCE,MA,1840,1242,125780.0
4,765634,MERCY CHAPEL INTERNATIONAL,75 MORTON VILLAGE DR APT 408,MATTAPAN,MA,2126,2433,125780.0
5,841363,AGAPE HOUSE OF PRAYER,39 GOODALE RD STE 2,MATTAPAN,MA,2126,1527,125780.0
6,852649,BETHANY PRESBYTERIAN CHURCH,32 HARVARD ST,BROOKLINE,MA,2445,7994,125780.0
7,1028397,UNITY IN THE CITY,PO BOX 471009,BROOKLINE,MA,1302,0,125780.0
8,1347537,RESTORATION OF HOPE CHURCH MINISTRIES,PO BOX 190340,ROXBURY,MA,2119,6,125780.0
9,10011694,MASSACHUSETTS MODERATORS ASSOCIATION,PO BOX 1281,HAVERHILL,MA,1831,1781,125780.0
10,10321284,THE BIBLE SPEAKS,27 W CENTRAL ST,NATICK,MA,1760,4501,125780.0
11,10339164,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,8 BEACON STREET,BOSTON,MA,2108,3722,125780.0
12,10357293,HERITAGE COURT INC,170 NEWBURY STREET,BOSTON,MA,2116,2873,125780.0
13,10357303,WILTON HOUSING INC,170 NEWBURY STREET,BOSTON,MA,2116,2873,125780.0
14,10359121,GEORGETOWN HISTORICAL SOCIETY,PO BOX 376,GEORGETOWN,MA,1833,476,125780.0
15,10362622,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,8 BEACON STREET,BOSTON,MA,2108,3722,125780.0
16,10366493,NEW ENGLAND CHAPTER 8 OF THE NATL ASSOC OF WATCH & CLOCK COLLECTORS,54 SCHOOL ST,DEDHAM,MA,2026,4330,125780.0
17,10368364,DAVID BEALE KENYON FUND FOR ENRICH- MENT OF ART & MUSIC DRESDEN SCHOOL,30 MCGREGOR DR,SHERBORN,MA,1770,1116,125780.0
18,10377706,NEW ENGLAND ECONOMIC PROJECT INC,268 FISKE ST,CARLISLE,MA,1741,1019,125780.0
19,10379819,NEW ENGLAND SOCIETY OF EEG TECHNOLOGISTS,120 GROVE ST,SCITUATE,MA,2066,3625,125780.0
20,10383486,MAINE LIBRARY ASSOCIATION,55 N MAIN ST APT 49,BELCHERTOWN,MA,1007,8201,125780.0
21,10402657,JOHN LIBBY FAMILY ASSOCIATION,PO BOX 907,TOWNSEND,MA,1469,907,125780.0
22,10422021,THE FOUNDATION FOR FACES OF CHILDREN,258 HARVARD STREET 367,BROOKLINE,MA,2446,2904,125780.0
23,10436340,NATIONAL ASSOCIATION OF HOUSING & REDEVELOPMENT OFFICIALS,990 WASHINGTON ST STE 209,DEDHAM,MA,2026,6717,125780.0
24,10438846,AMERICA EAST,451 D STREET 705B,BOSTON,MA,2210,1950,125780.0
25,10448905,YPO INC,56 LAKEVIEW DR,CENTERVILLE,MA,2632,1417,125780.0
26,10456644,MAINE YANKEE ATOMIC POWER CO EMP WELFARE BENEFIT PL & TR VEBA,CO MARCUM LLP 53 STATE STREET FL,BOSTON,MA,2109,0,125780.0
27,10476223,DALTON BENEFIT ASSOCIATION,411 HIGH ST,DALTON,MA,1226,1141,125780.0
28,10478606,SPORTS AND MUSIC CAMP INC,55 LOWDEN ST,PITTSFIELD,MA,1201,6411,125780.0
29,10492851,CHARLEYS STRAYS INC,23 HARRIS ST,WALTHAM,MA,2452,6104,125780.0
30,10503038,CHEBEAGUE ISLAND COMMUNITY SAILING SCHOOL,192 BOSTON POST RD UNIT 17,SUDBURY,MA,1776,3184,125780.0
31,10506527,NATIONAL CORVETTE RESTORERS SOCIETY,5 JAIMIE ANN DR,RUTLAND,MA,1543,1253,125780.0
32,10516646,NORTH AMERICAN MARINE ALLIANCE INC,222 MAIN ST,GLOUCESTER,MA,1930,6021,125780.0
33,10518534,SHARING FOUNDATION,PO BOX 600,CONCORD,MA,1742,600,125780.0
34,10547026,NEW ENGLAND PREPARATORY SCHOOL ATHLETIC COUNCIL,10 TECHNOLOGY DR SUITE 40 147,HUDSON,MA,1749,2791,125780.0
35,10548247,BOSTON CHURCH FOR MISSION KMC,30 GORDON ST,ALLSTON,MA,2134,1924,125780.0
36,10549413,ASSOCIATION FOR THE DEVELOPMENT OF LAZILE INC,4344 WASHINGTON STREET,ROSLINDALE,MA,2131,3484,125780.0
37,10556394,HAITAIN MOUNTAIN MINISTRY INC,35 FAIRVIEW AVE,ASHBURNHAM,MA,1430,1416,125780.0
38,10556446,QUINCY ASIAN RESOURCES INC,1509 HANCOCK ST STE 209,QUINCY,MA,2169,5242,125780.0
39,10556535,COOLIDGE CORNER COMMUNITY CHORUS,25 BEALS ST,BROOKLINE,MA,2446,6010,125780.0
40,10556614,NEW ENGLAND CLUB BASEBALL ASSOCIATION,16 HOWE ST,HUDSON,MA,1749,1529,125780.0
41,10557632,FRIENDS OF ASHA USA INC,15 NOTRE DAME AVE,CAMBRIDGE,MA,2140,2505,125780.0
42,10559208,BRAINTREE COMMUNITY ACCESS AND MEDIA INC,PO BOX 850271,BRAINTREE,MA,2185,271,125780.0
43,10559869,EASTERN MASSACHUSETTS HOCKEY INC,5 GEORGE AVE,WOBURN,MA,1801,2704,125780.0
