,EIN,Name,totcntrbgfts,totcntrbs
0,1049015,MARSHFIELD WOMENADE INC,,
1,10557632,FRIENDS OF ASHA USA INC ASHA USA,,
2,10595450,VISITATION HOUSE INC,740298.0,
3,10682176,STEPH KENNEY CREATIVE ARTS SCHOLARSHIP FUND,,335.0
4,10779185,HARVARD BLACK ALUMNI ALUMNAE SOCIETY INC,,
5,10961805,BOSTON WOMENS RUGBY FC CORPORATION,,
6,10972861,HARVARD WOMANS PHILANTHROPIC CLUB INC HARVARD WOMENS CLUB,,
7,12930736,ALTERNATIVES A CRISIS PREGNANCY CENTER,,
8,20335684,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC NEW HAMPSHIRE,,
9,20370171,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1962 CLASS OF,,
10,20412553,WELLESLEY COLLEGE ALUMNAE ASSOC 1982 CLASS,,
11,20489625,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1995 CLASS OF,,
12,20493656,FRANKLIN GIRLS SOFTBALL ASSOCIATION,,
13,20588944,VICTIM RIGHTS LAW CENTER INC,3307492.0,
14,20593057,FALMOUTH GIRLS HOCKEY CLUB INC,,
15,20631160,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 90 000 000 90001394 NORTHEAST RESOU,,
16,20703030,WAGE PROJECT INC,,
17,26019938,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 600 000 90000740 SEACOAST,,
18,30058942,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BETTY ALLEN DAR,5526.0,
19,30287938,WELLESLEY COLLEGE ALUMNAE ASSOCIATION VERMONT WELLESLEY CLUB,,
20,30382773,IBIS REPRODUCTIVE HEALTH INC,7732208.0,
21,30468317,RHYTHMIC DREAMS INC,,
22,30490897,H U G S FOXBORO INC,,
23,30518665,FRIENDS OF THE MEDFORD FAMILY NETWORK CORP,,76776.0
24,30518665,FRIENDS OF THE MEDFORD FAMILY NETWORK CORP,,34003.0
25,30547972,SAHELI INC,656156.0,
26,30604434,PARKWAY GIRLS SOFTBALL LEAGUE INC,,
27,40010442,GLOUCESTER FISHERMENS WIVES MEMORIAL INC,,
28,40294888,NATIONAL SOCIETY OF NEW ENGLAND WOMEN ESSEX WORCESTER COLONY,,
29,41843040,TRUSTEES OF THE SMITH COLLEGE,101443020.0,
30,41983380,WOMANS CLUB OF FALL RIVER,,
31,42103548,YOUNG WOMENS CHRISTIAN ASSOCIATION OF BOSTON INC,3191160.0,
32,42103562,DANA HALL SCHOOLS,4529847.0,
33,42103578,TRUSTEES OF MOUNT HOLYOKE COLLEGE,54224304.0,
34,42103637,WELLESLEY COLLEGE,68183815.0,
35,42103649,ALUMNAE ASSOCIATION OF SMITH COLLEGE,0.0,
36,42103649,ALUMNAE ASSOCIATION OF SMITH COLLEGE,0.0,
37,42103748,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA HADASSAH BOSTON,,
38,42103766,FALL RIVER DEACONESS HOME,363733.0,
39,42103856,GIRL SCOUTS OF CENTRAL AND WESTERN MASSACHUSETTS INC,419254.0,
40,42103858,YWCA OF WESTERN MASSACHUSETTS,164361.0,
41,42103968,CAMBRIDGE YOUNG WOMENS CHRISTIAN ASSOCIATION,1015703.0,
42,42104248,GIRLS INCORPORATED OF TAUNTON,217328.0,
43,42104249,GIRLS CLUB OF GREENFIELD INC,1428810.0,
44,42104250,GIRLS INCORPORATED OF LYNN,3646817.0,
45,42104273,MISS HALLS SCHOOL INC,,
46,42104286,YOUTH EMPOWERHOUSE CORP,420442.0,
47,42104318,HOME FOR AGED WOMEN IN SALEM BROOKHOUSE HOME FOR AGED WOMEN,278063.0,
48,42104362,JUNIOR LEAGUE OF BOSTON INCORPORATED,189010.0,
49,42104401,GIRLS INCORPORATED OF GREATER LOWELL,2003215.0,
50,42104435,WOMENS COMMUNITY COMMITTEE INC,,0.0
51,42104747,YWCA OF SOUTHEASTERN MASSACHUETTS,1954221.0,
52,42104817,JONAS WILLIS PARMENTER HOME INC,0.0,
53,42104868,TAS SACH INC,,
54,42105799,VINCENT CLUB,435307.0,
55,42105817,WELLESLEY COLLEGE ALUMNAE ASSOCIATION,,
56,42105842,WINSOR SCHOOL INC,5265015.0,
57,42105852,WOMENS CLUB OF THE BERKSHIRES INC WOMENS CLUB OF THE BERKS HERES JAC,,
58,42105860,GIRL SCOUTS OF MONTACHUSETT COUNCIL INC,,
59,42105873,YWCA CENTRAL MASSACHUSETTS INC,2431457.0,
60,42105876,YOUNG WOMENS CHRISTIAN ASSOCIATION,,
61,42105888,HAVERHILL YOUNG WOMENS CHRISTIAN ASSOCIATION INC,,
62,42105894,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC,1125658.0,
63,42105916,NEW ENGLAND FARM AND GARDEN ASSOCIATION INC,,
64,42105934,JUNIOR LEAGUE BUDGET BOX,,
65,42106333,ST MARGARETS HOSPITAL,,
66,42108390,SISTERS OF PROVIDENCE INC,,
67,42121343,UNITARIAN UNIVERSALIST WOMENS FEDERATION,,
68,42121358,MASSACHUSETTS GENERAL HOSPITAL NURSES ALUMNAE ASSOCIATION INC,58174.0,
69,42121644,ST HELEN PARISH,,
70,42121657,WOMANS FRIEND SOCIETY,22322.0,
71,42123666,GIRLS INCORPORATED OF WORCESTER,1662723.0,
72,42123678,YOUNG WOMENS CHRISTIAN ASSOCIATION OF NEWBURYPORT,1202764.0,
73,42125009,YOUNG WOMENS CHRISTIAN ASSOCIATION OF MALDEN,,
74,42127030,SISTERS OF CHARITY OF OTTAWA ST JOSEPH PROVINCE,,
75,42137437,BELMONT WOMANS CLUB,,
76,42150651,BIG SISTER ASSOCIATION OF GREATER BOSTON INC,4467345.0,
77,42152598,WELLESLEY STUDENTS AID SOCIETY INC,1143564.0,
78,42159911,ST MARGARET MARY PARISH,,
79,42160625,CONGREGATION OF SISTERS OF ST JOSEPH OF BOSTON,,
80,42163044,STONELEIGH BURNHAM SCHOOL,3208899.0,
81,42175121,ST LUKES HOSPITAL WOMENS AUXILIARY,,
82,42175196,JUNIOR LEAGUE OF BERKSHIRE COUNTY INC,,
83,42178889,GLADYS ALLEN BRIGHAM COMMUNITY CENTER INC,853042.0,
84,42195415,JUNIOR LEAGUE OF WORCESTER INC,,13136.0
85,42195415,JUNIOR LEAGUE OF WORCESTER INC,,18688.0
86,42195415,JUNIOR LEAGUE OF WORCESTER INC,,8182.0
87,42195415,JUNIOR LEAGUE OF WORCESTER INC,,10515.0
88,42202842,MARY MOTHER OF HOPE PARISH MARY MOTHER OF HOPE PARISH,,
89,42212181,CONGREGATION OF SISTERS OF DIVINE PROVIDENCE,,
90,42218584,CONGREGATION OF SISTERS OF ST JOSEPH OF SPRINGFIELD,,
91,42225821,SHELBURNE FALLS AREA WOMENS CLUB BRIDGE OF FLOWERS,,
92,42239449,PARTNERS HEALTHCARE SYSTEM INC FRIENDS OF THE BRIGHAM AND WOMENS HOS,,
93,42258361,DEDHAM WOMENS EXCHANGE INC,34610.0,
94,42260018,LITTLE SISTERS OF THE POOR OF GREATER BOSTON INC JEANNE JUGAN RESIDENCE,682752.0,
95,42262664,SISTERS OF THE PRESENTATION OF MARY INC,,
96,42276809,MASSACHUSETTS CITIZENS FOR CHILDREN INC MASSACHUSETTS COMMITTEE,277620.0,
97,42279317,WELLESLEY COLLEGE ALUMNAE ASSOCIATION NEW JERSEY WELLESLEY CLUB,,
98,42294551,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 000 000 90000720 NORTHERN NEW EN,,
99,42308758,MASSACHUSETTS PROTESTANT SOCIAL SERVICES INC,,
100,42312909,MASS GENERAL BRIGHAM INCORPORATED BRIGHAM AND WOMENS HOSPITAL INC,,
101,42313043,LITTLE MISSIONARY SISTERS OF CHARITY INC,,
102,42321292,PINE MANOR COLLEGE,,
103,42472747,WOMENS SERVICE CLUB INC,,
104,42475363,HEALTHQUARTERS INC,45416.0,
105,42475862,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC UPTON WOMANS CLUB,,
106,42495169,BAYRIDGE RESIDENCE AND CULTURAL CENTER INC BAYRIDGE RESIDENCE,144730.0,
107,42500577,FAMILY PLANNING COMMITTEE OF GREATER FALL RIVER INC,,
108,42557022,NEW BEDFORD WOMENS CENTER INC THE WOMENS CENTER,4723681.0,
109,42577609,ACTON MASSACHUSETTS WOMENS CLUB INC,,
110,42578752,DOROTHY BRUNO HILLS TENNIS LEAGUE INC,,600.0
111,42582187,ROSIES PLACE INC,18650463.0,
112,42584551,ELIZABETH FREEMAN CENTER INC,770807.0,
113,42596729,BOSTON INSTITUTE FOR THE DEVELOPMENT OF INFANTS AND PARENTS,,
