EIN,Name
001049015,MARSHFIELD WOMENADE INC
010557632,FRIENDS OF ASHA USA INC ASHA USA
010595450,VISITATION HOUSE INC
010682176,STEPH KENNEY CREATIVE ARTS SCHOLARSHIP FUND
010779185,HARVARD BLACK ALUMNI ALUMNAE SOCIETY INC
010961805,BOSTON WOMENS RUGBY FC CORPORATION
010972861,HARVARD WOMANS PHILANTHROPIC CLUB INC HARVARD WOMENS CLUB
012930736,ALTERNATIVES A CRISIS PREGNANCY CENTER
020335684,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC NEW HAMPSHIRE
020370171,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1962 CLASS OF
020412553,WELLESLEY COLLEGE ALUMNAE ASSOC 1982 CLASS
020489625,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1995 CLASS OF
020493656,FRANKLIN GIRLS SOFTBALL ASSOCIATION
020588944,VICTIM RIGHTS LAW CENTER INC
020593057,FALMOUTH GIRLS HOCKEY CLUB INC
020631160,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 90 000 000 90001394 NORTHEAST RESOU
020703030,WAGE PROJECT INC
026019938,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 600 000 90000740 SEACOAST
030058942,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BETTY ALLEN DAR
030287938,WELLESLEY COLLEGE ALUMNAE ASSOCIATION VERMONT WELLESLEY CLUB
030382773,IBIS REPRODUCTIVE HEALTH INC
030468317,RHYTHMIC DREAMS INC
030490897,H U G S FOXBORO INC
030518665,FRIENDS OF THE MEDFORD FAMILY NETWORK CORP
030547972,SAHELI INC
030604434,PARKWAY GIRLS SOFTBALL LEAGUE INC
040010442,GLOUCESTER FISHERMENS WIVES MEMORIAL INC
040294888,NATIONAL SOCIETY OF NEW ENGLAND WOMEN ESSEX WORCESTER COLONY
041843040,TRUSTEES OF THE SMITH COLLEGE
041983380,WOMANS CLUB OF FALL RIVER
042103548,YOUNG WOMENS CHRISTIAN ASSOCIATION OF BOSTON INC
